Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
31,92,4.804347826086956,220.1086956521739,12.540376817864463,9.37285871316184,0.6643580776229088
32,94,4.5638297872340425,415.20212765957444,11.966650368265151,10.313984389365283,0.507088452485865
33,59,4.5423728813559325,463.40677966101697,10.329088893220613,7.354679278903136,0.7021433378730377
34,43,4.4186046511627906,527.6976744186046,8.482229574509475,6.631118923581918,0.623571870249741
35,51,4.8431372549019605,386.078431372549,8.443334983445736,7.744848728263225,0.39825751033133866
36,84,5.178571428571429,423.75,12.149448246393169,8.998663307504028,0.671875216168759
37,38,5.447368421052632,201.0,7.7793595298139575,6.279907959218261,0.590206142945721
38,53,5.169811320754717,210.9811320754717,9.35155176308208,7.2636529910022425,0.6298307875357905
39,75,5.96,456.88,12.60382115480319,7.647724648399391,0.7948711500857879
40,45,5.466666666666667,596.6888888888889,9.269850676564463,6.399054080530603,0.7235154229934476
41,54,6.166666666666667,190.75925925925927,9.949531278646557,6.955273248657576,0.7150675440668319
42,26,5.846153846153846,235.80769230769232,6.348357601450221,5.316615756417544,0.5464696104855817
43,65,6.123076923076923,546.2307692307693,9.490890973247282,8.993891767508059,0.3193581752411518
44,89,6.292134831460674,90.6067415730337,11.914996617273454,9.593520367282006,0.5930528980044335
45,47,6.638297872340425,363.63829787234044,10.199581620271692,5.837799018374185,0.8200047513040786
46,35,6.685714285714286,438.9428571428571,7.771325165082593,5.945189710073019,0.6440110257375754
47,30,6.9,248.2,6.962176321339578,5.685780585863167,0.5771089944838161
48,36,6.638888888888889,277.6388888888889,7.184437243672171,6.615631303293656,0.38996885912307383
49,38,7.2631578947368425,20.86842105263158,7.302374312132636,6.651139471948513,0.4128064890831741
50,56,7.785714285714286,182.83928571428572,9.304702478392116,7.891422723750778,0.5298182052429304
51,91,6.472527472527473,476.8131868131868,12.047101076147957,9.681191279234065,0.5951539704279445
52,36,7.333333333333333,520.25,7.539838622207882,6.283642803692431,0.5526820219573292
53,91,8.747252747252746,269.75824175824175,12.869140705858557,9.262321702239808,0.6942528662944127
54,40,8.4,70.475,8.052882898023924,6.3072241937887235,0.6217375889384753
55,36,8.11111111111111,491.6111111111111,8.96537332813238,5.132068829422361,0.8199520222323085
56,36,8.916666666666666,514.8888888888889,7.806705148977211,6.224685754447694,0.6035155810187408
57,58,8.620689655172415,32.275862068965516,11.60908873315218,6.574700043691339,0.8241711913025267
58,59,9.288135593220339,171.22033898305085,9.736262377871546,7.805803045382473,0.5976933485076583
59,47,8.936170212765957,240.87234042553192,8.882977598861936,6.760394947916543,0.6486925828809551
60,31,8.64516129032258,505.4193548387097,7.394315296490058,5.410174765598999,0.6816624842082712
61,67,9.746268656716419,227.0597014925373,10.549162466473863,8.09558627974048,0.641150611319585
62,34,10.029411764705882,14.970588235294118,6.790591777466767,6.433474443534144,0.32002237929756827
63,86,10.546511627906977,42.46511627906977,11.726712040921035,9.465354304976023,0.5903302351258984
64,82,9.646341463414634,407.719512195122,11.929798160536263,8.964996991304602,0.6597566092891953
65,67,9.73134328358209,432.7313432835821,10.407136638366504,8.361768630042263,0.5953521742210129
66,55,10.090909090909092,26.70909090909091,10.899028246763615,6.5959624366980325,0.7960824938058328
67,80,10.8875,284.45,12.449418797842535,8.256480581696108,0.74844036913361
68,29,10.482758620689655,527.1379310344828,7.156007173898902,5.245654231722104,0.680183313521763
69,152,9.677631578947368,585.8092105263158,16.855275458528144,12.007533162645931,0.7017835804868201
70,91,10.857142857142858,114.85714285714286,11.67320591199077,9.91644844510983,0.5275803387398784
71,64,10.703125,253.1875,11.26616130506586,7.372309895700037,0.7561689944323817
72,101,10.05940594059406,450.7227722772277,15.943015344822673,8.732518856272495,0.8366530574903494
73,32,11.71875,64.90625,7.01843443125775,5.944352625318901,0.5316522136552335
74,73,11.36986301369863,80.87671232876713,12.178672236897711,7.723919048633428,0.7731552218231686
75,71,11.535211267605634,101.98591549295774,11.450393851384062,7.869935951208055,0.7263670389124588
76,85,11.741176470588234,150.8,11.701437405182666,9.510356548717501,0.5826110111050146
77,56,10.839285714285714,193.92857142857142,12.027848174263843,6.208885250345664,0.8564625597215246
78,123,6.178861788617886,442.9186991869919,18.982033037888176,11.46963839188475,0.79680498024943
79,39,11.0,532.3333333333334,8.37107487707769,6.003729134630979,0.6968680995870417
80,30,11.333333333333334,143.8,6.317486299531702,6.050200195926147,0.2877982277471246
81,38,12.447368421052632,245.94736842105263,7.5892749570574995,6.504941426861591,0.5151119482340789
82,25,12.4,323.44,5.887478237751711,5.4258639865002145,0.3881555064577865
83,39,11.871794871794872,388.87179487179486,7.351063379359721,6.687148025724323,0.4153001405434975
84,36,11.944444444444445,594.75,7.740012350085122,6.031265160628716,0.626735605307198
85,27,12.592592592592593,2.074074074074074,6.421500681256116,5.2654105708259085,0.5724125976557585
86,49,12.428571428571429,136.71428571428572,9.510829464344296,6.638880564150733,0.7160647978229943
87,96,12.0,163.89583333333334,13.681086096940621,9.128030387967252,0.7448779830273882
88,10,12.0,235.8,3.919183588453085,3.0983866769659336,0.6123724356957945
89,36,12.25,345.94444444444446,7.505754265690563,6.320411657507117,0.539359693454105
90,57,11.87719298245614,501.12280701754383,11.606893304010038,6.4092214464672965,0.8337176705164044
91,58,12.655172413793103,50.46551724137931,10.978073861305173,6.739617293557807,0.7893712117682787
92,54,12.407407407407407,200.75925925925927,8.71613882837053,7.859978807865815,0.43220993256467005
93,43,12.86046511627907,276.0232558139535,8.092756577738838,6.741137282419837,0.5532969773479084
94,50,13.32,546.64,10.087132299588946,6.558792722032724,0.759751276143744
95,75,13.853333333333333,218.50666666666666,10.175863010319587,9.429046776123274,0.3760261493051359
96,47,13.53191489361702,259.06382978723406,8.69358669485911,6.816723928594284,0.6206225018724058
97,7,12.714285714285714,469.0,3.0237157840738176,2.7994168488950604,0.3779644730092273
98,62,13.548387096774194,482.14516129032256,9.893729679305448,7.995814632571824,0.5889493995667511
99,62,14.225806451612904,522.3064516129032,10.52841897302366,7.877803124338177,0.6634261181950108
100,52,14.423076923076923,19.653846153846153,9.816245973330272,6.7321458959130025,0.7277742695890335
101,34,14.0,70.32352941176471,8.281845339382404,5.210380216069,0.7772978646076529
102,29,13.586206896551724,186.72413793103448,6.278954609436002,5.818841337079276,0.3757492863864437
103,69,14.159420289855072,399.71014492753625,10.493644478662006,8.431432536939946,0.5953318669695145
104,53,14.754716981132075,56.905660377358494,8.365062988963967,8.233384853087184,0.1767345092792157
105,69,14.391304347826088,209.2173913043478,10.032819484333917,8.775309069361754,0.48473635109856633
106,93,14.795698924731182,338.9032258064516,12.707271538984033,9.482754716625344,0.6656699023648033
107,68,14.573529411764707,463.95588235294116,10.604808274597183,8.196651772679168,0.6345053971538268
108,70,14.971428571428572,9.942857142857143,11.867623224444761,7.81993323100097,0.7522042450420149
109,32,15.09375,264.84375,7.2099321231151405,5.786676833906694,0.5965203350401131
110,103,16.640776699029125,350.45631067961165,15.416990890917507,9.253066947502932,0.7998602300247373
111,56,14.714285714285714,421.80357142857144,10.05305474942012,7.182203658267776,0.6997069458821189
112,37,14.945945945945946,428.7027027027027,8.192713958353892,5.748055257073962,0.7125653411704747
113,76,15.644736842105264,414.11842105263156,11.180052678102808,8.797399260531224,0.6171015460634967
114,57,16.140350877192983,512.0701754385965,12.92289689789227,5.746809638699411,0.8956796803282506
115,21,15.80952380952381,76.42857142857143,5.767159369534862,4.678382743709163,0.5847536397031423
116,98,15.642857142857142,179.16326530612244,12.420149973016818,10.134157132533476,0.5781297759004986
117,78,15.935897435897436,290.0897435897436,12.046590334116564,8.346221389726908,0.7211023766163835
118,73,15.698630136986301,540.4246575342465,11.395183696545708,8.305982522384411,0.6846170843214376
119,4,17.5,3.5,2.0,2.0,0.0
120,35,16.65714285714286,35.74285714285714,7.873210250170752,5.6960699976238605,0.6903506856783277
121,12,16.25,534.8333333333334,4.866624534998135,3.297198991706406,0.7355112522579809
122,74,17.175675675675677,157.36486486486487,10.096580934675728,9.691322247961715,0.28047342880307885
123,32,16.96875,309.53125,6.95160187415551,5.843285153339481,0.5417080368170629
124,89,17.359550561797754,91.25842696629213,12.395227927222896,9.259492475856401,0.6648007201210021
125,44,17.454545454545453,171.97727272727272,8.929769960157923,6.284155744198169,0.7104665446762337
